set,path,label,x_min,y_min,x_max,y_min,x_max,y_max,x_min,y_max
TRAIN,images/2021-10-04-23-43-08-649632.jpg,characters-4,0.0,0.0,,,0.0830078125,0.0947265625,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,characters-8,0.125,0.0,,,0.2080078125,0.1005859375,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,bamboo-1,0.25,0.0,,,0.3330078125,0.0810546875,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,bamboo-5,0.375,0.0,,,0.4580078125,0.0634765625,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,characters-5,0.5,0.0,,,0.5830078125,0.0703125,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,characters-4,0.625,0.0,,,0.7080078125,0.080078125,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,bamboo-5,0.75,0.0,,,0.8330078125,0.0830078125,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,characters-8,0.875,0.0,,,0.9580078125,0.07421875,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,dots-7,0.0,0.125,,,0.0830078125,0.2021484375,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,characters-1,0.125,0.125,,,0.2080078125,0.193359375,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,bamboo-6,0.25,0.125,,,0.3330078125,0.2314453125,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,characters-1,0.375,0.125,,,0.4580078125,0.2236328125,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,characters-7,0.5,0.125,,,0.5830078125,0.2041015625,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,dots-9,0.625,0.125,,,0.7080078125,0.2197265625,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,honors-white,0.75,0.125,,,0.8330078125,0.2236328125,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,dots-4,0.875,0.125,,,0.9580078125,0.228515625,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,dots-4,0.0,0.25,,,0.0830078125,0.3359375,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,bamboo-3,0.125,0.25,,,0.2080078125,0.3427734375,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,honors-east,0.25,0.25,,,0.3330078125,0.328125,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,honors-red,0.375,0.25,,,0.4580078125,0.3349609375,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,honors-north,0.5,0.25,,,0.5830078125,0.33984375,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,bamboo-1,0.625,0.25,,,0.7080078125,0.3203125,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,dots-5,0.75,0.25,,,0.8330078125,0.3330078125,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,characters-7,0.875,0.25,,,0.9580078125,0.3369140625,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,characters-4,0.0,0.375,,,0.0830078125,0.478515625,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,bamboo-2,0.125,0.375,,,0.2080078125,0.4638671875,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,characters-3,0.25,0.375,,,0.3330078125,0.4677734375,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,characters-3,0.375,0.375,,,0.4580078125,0.443359375,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,dots-3,0.5,0.375,,,0.5830078125,0.4765625,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,bamboo-1,0.625,0.375,,,0.7080078125,0.44140625,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,dots-9,0.75,0.375,,,0.8330078125,0.45703125,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,characters-2,0.875,0.375,,,0.9580078125,0.4736328125,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,honors-green,0.0,0.5,,,0.0830078125,0.580078125,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,dots-2,0.125,0.5,,,0.2080078125,0.5908203125,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,characters-8,0.25,0.5,,,0.3330078125,0.5810546875,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,characters-7,0.375,0.5,,,0.4580078125,0.5791015625,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,characters-3,0.5,0.5,,,0.5830078125,0.6064453125,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,characters-5,0.625,0.5,,,0.7080078125,0.5830078125,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,characters-3,0.75,0.5,,,0.8330078125,0.6015625,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,bamboo-7,0.875,0.5,,,0.9580078125,0.5986328125,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,dots-5,0.0,0.625,,,0.0830078125,0.7177734375,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,characters-8,0.125,0.625,,,0.2080078125,0.7177734375,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,characters-4,0.25,0.625,,,0.3330078125,0.69921875,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,bamboo-9,0.375,0.625,,,0.4580078125,0.72265625,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,bamboo-9,0.5,0.625,,,0.5830078125,0.69921875,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,dots-3,0.625,0.625,,,0.7080078125,0.693359375,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,bamboo-2,0.75,0.625,,,0.8330078125,0.7265625,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,characters-4,0.875,0.625,,,0.9580078125,0.69921875,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,characters-2,0.0,0.75,,,0.0830078125,0.837890625,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,dots-8,0.125,0.75,,,0.2080078125,0.8134765625,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,bamboo-9,0.25,0.75,,,0.3330078125,0.8232421875,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,honors-east,0.375,0.75,,,0.4580078125,0.8505859375,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,characters-9,0.5,0.75,,,0.5830078125,0.8369140625,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,characters-3,0.625,0.75,,,0.7080078125,0.82421875,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,honors-south,0.75,0.75,,,0.8330078125,0.8447265625,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,bamboo-9,0.875,0.75,,,0.9580078125,0.8359375,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,honors-south,0.0,0.875,,,0.0830078125,0.943359375,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,dots-9,0.125,0.875,,,0.2080078125,0.9765625,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,dots-5,0.25,0.875,,,0.3330078125,0.986328125,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,characters-9,0.375,0.875,,,0.4580078125,0.9462890625,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,bamboo-2,0.5,0.875,,,0.5830078125,0.9365234375,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,bamboo-5,0.625,0.875,,,0.7080078125,0.955078125,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,honors-west,0.75,0.875,,,0.8330078125,0.955078125,,
TRAIN,images/2021-10-04-23-43-08-649632.jpg,honors-south,0.875,0.875,,,0.9580078125,0.9755859375,,
TEST,images/2021-10-04-23-43-08-946002.jpg,bamboo-2,0.0,0.0,,,0.0947265625,0.11328125,,
TEST,images/2021-10-04-23-43-08-946002.jpg,bamboo-8,0.142578125,0.0,,,0.2373046875,0.109375,,
TEST,images/2021-10-04-23-43-08-946002.jpg,characters-5,0.28515625,0.0,,,0.3798828125,0.0986328125,,
TEST,images/2021-10-04-23-43-08-946002.jpg,dots-2,0.427734375,0.0,,,0.5224609375,0.10546875,,
TEST,images/2021-10-04-23-43-08-946002.jpg,honors-green,0.5712890625,0.0,,,0.666015625,0.0986328125,,
TEST,images/2021-10-04-23-43-08-946002.jpg,characters-6,0.7138671875,0.0,,,0.80859375,0.072265625,,
